#Wvlngth	Flux
1043.7092196	9.39750533216
1043.7475346	9.39739256286
1043.7858509	9.39728307237
1043.8241687	9.39717685387
1043.8624879	9.39707390056
1043.9008085	9.39697420562
1043.9391306	9.39687776223
1043.9774540	9.39678456358
1044.0157788	9.39669460285
1044.0541050	9.39660787322
1044.0924327	9.39652436786
1044.1307617	9.39644407996
1044.1690922	9.39636700269
1044.2074240	9.39629312922
1044.2457573	9.39622245273
1044.2840920	9.39615496638
1044.3224281	9.39609066334
1044.3607656	9.39602953679
1044.3991045	9.39597157988
1044.4374448	9.39591678578
1044.4757865	9.39586514766
1044.5141296	9.39581665868
1044.5524741	9.39577131199
1044.5908201	9.39572910075
1044.6291674	9.39569001813
1044.6675162	9.39565405727
1044.7058663	9.39562121133
1044.7442179	9.39559147346
1044.7825709	9.39556483681
1044.8209252	9.39554129453
1044.8592810	9.39552083976
1044.8976382	9.39550346566
1044.9359968	9.39548916537
1044.9743569	9.39547793202
1045.0127183	9.39546975877
1045.0510811	9.39546463874
1045.0894453	9.39546256508
1045.1278110	9.39546353093
1045.1661781	9.39546752941
1045.2045465	9.39547455367
1045.2429164	9.39548459683
1045.2812877	9.39549765202
1045.3196604	9.39551371238
1045.3580345	9.39553277102
1045.3964100	9.39555482108
1045.4347869	9.39557985568
1045.4731652	9.39560786794
1045.5115450	9.39563885098
1045.5499261	9.39567279792
1045.5883086	9.39570970188
1045.6266926	9.39574955598
1045.6650780	9.39579235332
1045.7034648	9.39583808703
1045.7418529	9.39588675021
1045.7802425	9.39593833597
1045.8186336	9.39599283742
1045.8570260	9.39605024768
1045.8954198	9.39611055983
1045.9338150	9.39617376699
1045.9722117	9.39623986227
1046.0106097	9.39630883875
1046.0490092	9.39638068954
1046.0874101	9.39645540773
1046.1258124	9.39653298643
1046.1642161	9.39661341872
1046.2026212	9.3966966977
1046.2410277	9.39678281646
1046.2794356	9.39687176809
1046.3178449	9.39696354567
1046.3562557	9.3970581423
1046.3946678	9.39715555106
1046.4330814	9.39725576503
1046.4714964	9.39735877729
1046.5099127	9.39746458093
1046.5483305	9.39757316901
1046.5867497	9.39768453463
1046.6251704	9.39779867085
1046.6635924	9.39791557075
1046.7020158	9.39803522739
1046.7404407	9.39815763386
1046.7788669	9.39828278322
1046.8172946	9.39841066854
1046.8557237	9.39854128288
1046.8941542	9.39867461931
1046.9325861	9.39881067089
1046.9710194	9.39894943069
1047.0094541	9.39909089176
1047.0478902	9.39923504715
1047.0863278	9.39938188994
1047.1247667	9.39953141316
1047.1632071	9.39968360989
1047.2016489	9.39983847316
1047.2400920	9.39999599603
1047.2785366	9.40015617154
1047.3169827	9.40031899275
1047.3554301	9.4004844527
1047.3938789	9.40065254443
1047.4323292	9.40082326099
1047.4707808	9.40099659542
1047.5092339	9.40117254075
1047.5476884	9.40135109002
1047.5861443	9.40153223628
1047.6246016	9.40171597255
1047.6630603	9.40190229187
1047.7015204	9.40209118727
1047.7399819	9.40228265178
1047.7784449	9.40247667843
1047.8169093	9.40267326024
1047.8553750	9.40287239024
1047.8938422	9.40307406146
1047.9323108	9.40327826691
1047.9707808	9.40348499962
1048.0092522	9.4036942526
1048.0477251	9.40390601887
1048.0861993	9.40412029146
1048.1246750	9.40433706336
1048.1631521	9.4045563276
1048.2016305	9.40477807718
1048.2401104	9.40500230512
1048.2785918	9.40522900442
1048.3170745	9.4054581681
1048.3555586	9.40568978914
1048.3940442	9.40592386056
